CODE_ISO;GMDNR;GMDNAME;AREA_HA;X_CNTR;Y_CNTR;ACODE;AKAT;ANAME;E_CNTR;N_CNTR
CH;1;Aeugst am Albis;791;679300;235700;261;4;Zürich;2679300;1235700
CH;10;Obfelden;754;675100;235300;261;4;Zürich;2675100;1235300
CH;100;Stadel;1289;677500;264700;261;4;Zürich;2677500;1264700
CH;101;Steinmaur;939;676600;261500;261;4;Zürich;2676600;1261500
CH;102;Weiach;958;675200;267800;261;4;Zürich;2675200;1267800
CH;1024;Emmen;2037;664800;214100;1061;2;Luzern;2664800;1214100
CH;1026;Eschenbach (LU);1321;666900;220500;1061;4;Luzern;2666900;1220500
CH;1033;Inwil;1032;669200;219500;1061;4;Luzern;2669200;1219500
CH;1037;Rain;942;661900;220000;1061;4;Luzern;2661900;1220000
CH;1040;Rothenburg;1549;663000;216600;1061;2;Luzern;2663000;1216600
CH;1051;Adligenswil;699;670300;213700;1061;2;Luzern;2670300;1213700
CH;1052;Buchrain;480;669000;216500;1061;2;Luzern;2669000;1216500
CH;1053;Dierikon;278;670800;216700;1061;2;Luzern;2670800;1216700
CH;1054;Ebikon;968;668600;215000;1061;2;Luzern;2668600;1215000
CH;1058;Horw;2043;666300;207900;1061;2;Luzern;2666300;1207900
CH;1059;Kriens;2730;663800;209600;1061;2;Luzern;2663800;1209600
CH;1061;Luzern;3740;666200;211800;1061;1;Luzern;2666200;1211800
CH;1062;Malters;2857;656700;209800;1061;4;Luzern;2656700;1209800
CH;1063;Meggen;1393;671000;211000;1061;2;Luzern;2671000;1211000
CH;1064;Meierskappel;923;676200;219800;1711;4;Zug;2676200;1219800
CH;1066;Schwarzenberg;3930;655900;207600;1061;4;Luzern;2655900;1207600
CH;1067;Udligenswil;622;673100;215900;1061;4;Luzern;2673100;1215900
CH;1088;Hildisrieden;704;660000;222500;1061;4;Luzern;2660000;1222500
CH;1093;Neuenkirch;2627;658100;216700;1061;4;Luzern;2658100;1216700
CH;1095;Oberkirch;1096;651300;223000;91103;6;Sursee;2651300;1223000
CH;1099;Schenkon;771;653100;224800;91103;6;Sursee;2653100;1224800
CH;11;Ottenbach;502;673000;237200;261;4;Zürich;2673000;1237200
CH;1103;Sursee;605;650700;224700;91103;6;Sursee;2650700;1224700
CH;111;Bäretswil;2219;707200;243800;261;4;Zürich;2707200;1243800
CH;112;Bubikon;1161;704400;236300;261;4;Zürich;2704400;1236300
CH;113;Dürnten;1022;706200;237200;3336;2;Rapperswil-Jona – Rüti;2706200;1237200
CH;1147;Wikon;828;640300;234700;2581;2;Olten – Zofingen;2640300;1234700
CH;115;Gossau (ZH);1826;699600;240400;261;4;Zürich;2699600;1240400
CH;116;Grüningen;879;700200;237900;261;4;Zürich;2700200;1237900
CH;117;Hinwil;2228;706400;239800;261;4;Zürich;2706400;1239800
CH;118;Rüti (ZH);1006;707000;235300;3336;1;Rapperswil-Jona – Rüti;2707000;1235300
CH;119;Seegräben;377;700800;244300;261;4;Zürich;2700800;1244300
CH;12;Rifferswil;651;680100;232800;261;4;Zürich;2680100;1232800
CH;1201;Altdorf (UR);1021;691800;192900;1201;1;Altdorf (UR);2691800;1192900
CH;1203;Attinghausen;4689;690900;190700;1201;2;Altdorf (UR);2690900;1190700
CH;1204;Bauen;725;686900;199000;1201;4;Altdorf (UR);2686900;1199000
CH;1205;Bürglen (UR);5306;693300;192300;1201;2;Altdorf (UR);2693300;1192300
CH;1206;Erstfeld;5909;692500;186300;1201;4;Altdorf (UR);2692500;1186300
CH;1207;Flüelen;1575;690400;195600;1201;2;Altdorf (UR);2690400;1195600
CH;121;Wetzikon (ZH);1681;702700;242100;261;3;Zürich;2702700;1242100
CH;1211;Isenthal;6167;685500;196100;1201;4;Altdorf (UR);2685500;1196100
CH;1213;Schattdorf;1633;692800;191000;1201;2;Altdorf (UR);2692800;1191000
CH;1214;Seedorf (UR);1820;689500;192800;1201;4;Altdorf (UR);2689500;1192800
CH;1216;Silenen;14479;694100;182900;1201;4;Altdorf (UR);2694100;1182900
CH;1218;Spiringen;6468;698300;192100;1201;4;Altdorf (UR);2698300;1192100
CH;1219;Unterschächen;8028;701500;191100;1201;4;Altdorf (UR);2701500;1191100
CH;13;Stallikon;1202;679500;242100;261;4;Zürich;2679500;1242100
CH;1301;Einsiedeln;10974;699800;220400;91301;6;Einsiedeln;2699800;1220400
CH;131;Adliswil;777;682200;240700;261;2;Zürich;2682200;1240700
CH;1321;Feusisberg;1750;699200;227100;261;4;Zürich;2699200;1227100
CH;1322;Freienbach;2069;701400;228700;261;3;Zürich;2701400;1228700
CH;1323;Wollerau;653;697100;228000;261;3;Zürich;2697100;1228000
CH;134;Hütten;729;692700;225600;261;4;Zürich;2692700;1225600
CH;1341;Altendorf;2456;705500;227700;1344;1;Lachen;2705500;1227700
CH;1344;Lachen;434;707200;227700;1344;1;Lachen;2707200;1227700
CH;1346;Schübelbach;2901;712900;225800;1344;1;Lachen;2712900;1225800
CH;1349;Wangen (SZ);1100;710400;227700;1344;2;Lachen;2710400;1227700
CH;135;Kilchberg (ZH);258;683400;241300;261;2;Zürich;2683400;1241300
CH;136;Langnau am Albis;867;683400;238100;261;2;Zürich;2683400;1238100
CH;1362;Arth;4851;683500;212100;91362;6;Arth;2683500;1212100
CH;137;Oberrieden;279;686300;236800;261;2;Zürich;2686300;1236800
CH;1372;Schwyz;5318;692400;208500;91372;6;Schwyz;2692400;1208500
CH;138;Richterswil;753;696000;229300;261;3;Zürich;2696000;1229300
CH;139;Rüschlikon;293;684400;240400;261;2;Zürich;2684400;1240400
CH;14;Wettswil am Albis;377;678200;243700;261;4;Zürich;2678200;1243700
CH;140;Schönenberg (ZH);1096;691400;227600;261;4;Zürich;2691400;1227600
CH;1407;Sarnen;7688;661400;194200;91407;6;Sarnen;2661400;1194200
CH;141;Thalwil;550;685500;238300;261;2;Zürich;2685500;1238300
CH;142;Wädenswil;1739;693400;231600;261;3;Zürich;2693400;1231600
CH;1507;Hergiswil (NW);1699;666400;204400;1061;4;Luzern;2666400;1204400
CH;1508;Oberdorf (NW);1620;672100;201200;91509;6;Stans;2672100;1201200
CH;1509;Stans;1108;670600;201100;91509;6;Stans;2670600;1201100
CH;151;Erlenbach (ZH);289;687200;239800;261;2;Zürich;2687200;1239800
CH;1510;Stansstad;1713;668500;203300;91509;6;Stans;2668500;1203300
CH;152;Herrliberg;899;688700;237700;261;2;Zürich;2688700;1237700
CH;153;Hombrechtikon;1218;700500;234300;261;4;Zürich;2700500;1234300
CH;154;Küsnacht (ZH);1236;686600;241300;261;2;Zürich;2686600;1241300
CH;155;Männedorf;477;695200;234400;261;3;Zürich;2695200;1234400
CH;156;Meilen;1194;691300;236100;261;3;Zürich;2691300;1236100
CH;157;Oetwil am See;611;697000;236300;261;4;Zürich;2697000;1236300
CH;158;Stäfa;859;697000;233000;261;3;Zürich;2697000;1233000
CH;159;Uetikon am See;346;693800;235400;261;3;Zürich;2693800;1235400
CH;160;Zumikon;548;689700;242900;261;2;Zürich;2689700;1242900
CH;161;Zollikon;785;685800;243800;261;2;Zürich;2685800;1243800
CH;1630;Glarus Nord;15161;723200;217800;1630;1;Glarus;2723200;1217800
CH;1632;Glarus;10367;723700;211300;1630;1;Glarus;2723700;1211300
CH;1701;Baar;2485;682600;227800;1711;2;Zug;2682600;1227800
CH;1702;Cham;1912;677400;226100;1711;2;Zug;2677400;1226100
CH;1703;Hünenberg;1866;674900;225200;1711;2;Zug;2674900;1225200
CH;1704;Menzingen;2751;687300;226000;1711;4;Zug;2687300;1226000
CH;1705;Neuheim;793;686100;228900;1711;4;Zug;2686100;1228900
CH;1706;Oberägeri;3624;689200;221100;1711;3;Zug;2689200;1221100
CH;1707;Risch;2297;675100;221600;1711;3;Zug;2675100;1221600
CH;1708;Steinhausen;504;679300;227900;1711;2;Zug;2679300;1227900
CH;1709;Unterägeri;2669;686900;221300;1711;3;Zug;2686900;1221300
CH;1710;Walchwil;1588;681700;217200;1711;4;Zug;2681700;1217200
CH;1711;Zug;3384;681800;224700;1711;1;Zug;2681800;1224700
CH;172;Fehraltorf;947;699200;249400;261;4;Zürich;2699200;1249400
CH;173;Hittnau;1295;704800;246900;261;4;Zürich;2704800;1246900
CH;176;Lindau;1199;693000;255300;261;4;Zürich;2693000;1255300
CH;177;Pfäffikon;1952;701700;246900;261;4;Zürich;2701700;1246900
CH;178;Russikon;1421;701000;250200;261;4;Zürich;2701000;1250200
CH;180;Weisslingen;1281;700000;254300;261;4;Zürich;2700000;1254300
CH;182;Wildberg;1057;704000;253800;261;4;Zürich;2704000;1253800
CH;191;Dübendorf;1362;689300;250400;261;2;Zürich;2689300;1250400
CH;192;Egg;1453;694700;239600;261;4;Zürich;2694700;1239600
CH;193;Fällanden;638;690700;247300;261;4;Zürich;2690700;1247300
CH;194;Greifensee;227;693600;246800;261;2;Zürich;2693600;1246800
CH;195;Maur;1477;693000;244000;261;4;Zürich;2693000;1244000
CH;196;Mönchaltorf;759;697000;240700;261;4;Zürich;2697000;1240700
CH;197;Schwerzenbach;262;692200;248800;261;2;Zürich;2692200;1248800
CH;198;Uster;2849;696700;245000;261;3;Zürich;2696700;1245000
CH;199;Volketswil;1404;694800;249500;261;2;Zürich;2694800;1249500
CH;2;Affoltern am Albis;1059;676800;236800;261;3;Zürich;2676800;1236800
CH;200;Wangen-Brüttisellen;792;691100;251800;261;2;Zürich;2691100;1251800
CH;2061;Auboranges;193;551500;159200;5586;4;Lausanne;2551500;1159200
CH;2066;Chapelle (Glâne);202;553700;159800;5586;4;Lausanne;2553700;1159800
CH;2072;Ecublens (FR);488;551800;162200;5586;4;Lausanne;2551800;1162200
CH;2089;Montet (Glâne);220;552200;166100;5586;4;Lausanne;2552200;1166100
CH;2124;Broc;1003;574000;161400;2125;4;Bulle;2574000;1161400
CH;2125;Bulle;2386;570800;162700;2125;1;Bulle;2570800;1162700
CH;213;Brütten;660;693100;258700;261;4;Zürich;2693100;1258700
CH;2131;Echarlens;520;572100;166400;2125;2;Bulle;2572100;1166400
CH;2143;Morlon;424;573000;163900;2125;2;Bulle;2573000;1163900
CH;2145;Le Pâquier (FR);449;570600;160300;2125;4;Bulle;2570600;1160300
CH;2148;Riaz;776;571100;165500;2125;2;Bulle;2571100;1165500
CH;215;Dättlikon;288;689300;264300;261;4;Zürich;2689300;1264300
CH;2160;Vuadens;1045;568100;163000;2125;2;Bulle;2568100;1163000
CH;2171;Arconciel;616;575900;177300;2196;4;Fribourg;2575900;1177300
CH;2173;Autigny;622;568100;176200;2196;4;Fribourg;2568100;1176200
CH;2174;Avry;584;571900;182000;2196;4;Fribourg;2571900;1182000
CH;2175;Belfaux;888;574700;185600;2196;2;Fribourg;2574700;1185600
CH;2177;Chénens;394;566600;176700;2196;4;Fribourg;2566600;1176700
CH;2183;Corminboeuf;723;574500;184200;2196;2;Fribourg;2574500;1184200
CH;2186;Cottens (FR);497;568900;177900;2196;4;Fribourg;2568900;1177900
CH;2189;Ependes (FR);561;577600;178200;2196;4;Fribourg;2577600;1178200
CH;219;Elsau;807;702700;262500;230;2;Winterthur;2702700;1262500
CH;2194;Ferpicloz;102;579300;177400;2196;4;Fribourg;2579300;1177400
CH;2196;Fribourg;929;577900;183600;2196;1;Fribourg;2577900;1183600
CH;2197;Givisiez;346;576500;184800;2196;2;Fribourg;2576500;1184800
CH;2198;Granges-Paccot;399;577400;186000;2196;2;Fribourg;2577400;1186000
CH;2200;Grolley;534;571900;187000;2196;4;Fribourg;2571900;1187000
CH;2206;Marly;772;578800;180600;2196;4;Fribourg;2578800;1180600
CH;2208;Matran;291;573900;181500;2196;4;Fribourg;2573900;1181500
CH;2211;Neyruz (FR);553;571500;179700;2196;4;Fribourg;2571500;1179700
CH;2213;Noréaz;691;568700;183600;2196;4;Fribourg;2568700;1183600
