BZNR;BZNAME;KTNR;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
101;Bezirk Affoltern;1;4;11303;671863;686463;229137;245396;678300;235900;380;915;561;557;2671863;2686463;1229137;1245396;2678300;1235900
102;Bezirk Andelfingen;1;4;16654;684957;704389;264720;283343;693200;274000;342;695;438;427;2684957;2704389;1264720;1283343;2693200;1274000
103;Bezirk Bülach;1;4;18488;676552;693524;250961;276522;684800;263000;330;692;466;451;2676552;2693524;1250961;1276522;2684800;1263000
104;Bezirk Dielsdorf;1;4;15285;669245;684519;252441;269583;676400;260000;332;866;484;462;2669245;2684519;1252441;1269583;2676400;1260000
105;Bezirk Hinwil;1;4;17950;697375;716900;233458;248312;707300;240300;439;1291;685;645;2697375;2716900;1233458;1248312;2707300;1240300
106;Bezirk Horgen;1;4;10424;680481;696577;223896;243312;688100;232800;404;1228;600;596;2680481;2696577;1223896;1243312;2688100;1232800
107;Bezirk Meilen;1;4;8462;685057;703423;232200;245507;693100;238200;405;853;559;547;2685057;2703423;1232200;1245507;2693100;1238200
108;Bezirk Pfäffikon;1;4;16315;691821;713653;243859;258390;702200;251000;454;1073;635;626;2691821;2713653;1243859;1258390;2702200;1251000
109;Bezirk Uster;1;4;11223;686408;700228;236811;254014;696700;244100;426;845;502;481;2686408;2700228;1236811;1254014;2696700;1244100
110;Bezirk Winterthur;1;4;25175;687929;712738;251095;272191;700800;262200;369;890;529;509;2687929;2712738;1251095;1272191;2700800;1262200
111;Bezirk Dietikon;1;4;6011;669738;679230;241970;254508;674700;248700;379;799;483;476;2669738;2679230;1241970;1254508;2674700;1248700
112;Bezirk Zürich;1;4;8793;676225;689666;241584;254306;682400;248500;392;870;487;457;2676225;2689666;1241584;1254306;2682400;1248500
241;Arrondissement administratif Jura bernois;2;2;54173;556241;610093;212139;243835;580700;228000;429;1607;964;968;2556241;2610093;1212139;1243835;2580700;1228000
242;Verwaltungskreis Biel/Bienne;2;2;9757;575752;596458;211567;228480;587100;220700;422;1197;539;464;2575752;2596458;1211567;1228480;2587100;1220700
243;Verwaltungskreis Seeland;2;2;33397;568553;604429;202124;226634;587500;211800;424;821;492;472;2568553;2604429;1202124;1226634;2587500;1211800
244;Verwaltungskreis Oberaargau;2;2;33083;610705;634286;210714;238152;624200;225600;399;1232;586;550;2610705;2634286;1210714;1238152;2624200;1225600
245;Verwaltungskreis Emmental;2;2;69041;605003;639362;181694;224162;622800;204100;451;2197;805;787;2605003;2639362;1181694;1224162;2622800;1204100
246;Verwaltungskreis Bern-Mittelland;2;2;94625;572871;622384;168849;219080;601700;193800;449;2188;749;671;2572871;2622384;1168849;1219080;2601700;1193800
247;Verwaltungskreis Thun;2;2;32197;601204;632773;169610;187310;616300;178600;535;2189;942;896;2601204;2632773;1169610;1187310;2616300;1178600
248;Verwaltungskreis Obersimmental-Saanen;2;2;57488;581085;608971;130585;167180;594000;147300;794;3247;1658;1619;2581085;2608971;1130585;1167180;2594000;1147300
249;Verwaltungskreis Frutigen-Niedersimmental;2;2;77363;594691;631091;139997;174600;613900;157000;557;3694;1663;1640;2594691;2631091;1139997;1174600;2613900;1157000
250;Verwaltungskreis Interlaken-Oberhasli;2;2;122931;623433;677745;147409;182848;649800;167200;556;4271;1906;1887;2623433;2677745;1147409;1182848;2649800;1167200
311;Wahlkreis Luzern-Stadt;3;6;2910;658323;675205;205685;215024;664800;211700;419;1123;505;490;2658323;2675205;1205685;1215024;2664800;1211700
312;Wahlkreis Luzern-Land;3;6;18758;652361;681764;201632;221523;659300;207500;403;2076;736;626;2652361;2681764;1201632;1221523;2659300;1207500
313;Wahlkreis Hochdorf;3;6;17737;658917;673331;212970;237691;664300;224400;399;878;557;524;2658917;2673331;1212970;1237691;2664300;1224400
314;Wahlkreis Sursee;3;6;27307;643581;661768;210498;234868;652600;216100;449;866;634;635;2643581;2661768;1210498;1234868;2652600;1216100
315;Wahlkreis Willisau;3;6;33743;630128;648997;206022;236889;639400;221000;435;1402;671;646;2630128;2648997;1206022;1236889;2639400;1221000
