GMDNR;GMDNAME;BZNR;KTNR;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;Z_CNTR;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
7001;Vaduz;7000;70;70;1728;755929;764959;217392;229073;758300;223800;437;2150;993;751;626;2755929;2764959;1217392;1229073;2758300;1223800
7002;Triesen;7000;70;70;2646;757483;764441;212998;221351;760600;216700;456;2599;1320;1436;1685;2757483;2764441;1212998;1221351;2760600;1216700
7003;Balzers;7000;70;70;1972;754427;766630;212924;225978;756900;214900;466;2227;1121;1116;472;2754427;2766630;1212924;1225978;2756900;1214900
7004;Triesenberg;7000;70;70;2972;758679;766778;216428;226130;761000;221700;653;2365;1494;1500;1517;2758679;2766778;1216428;1226130;2761000;1221700
7005;Schaan;7000;70;70;2695;755160;765885;214468;229080;756600;226600;438;2570;1106;954;447;2755160;2765885;1214468;1229080;2756600;1226600
7006;Planken;7000;70;70;536;758045;763218;225011;228944;760600;227800;439;2122;1297;1310;1104;2758045;2763218;1225011;1228944;2760600;1227800
7007;Eschen;7000;70;70;1039;755289;762179;228240;233043;759300;229700;436;1659;545;447;445;2755289;2762179;1228240;1233043;2759300;1229700
7008;Mauren;7000;70;70;747;758362;762590;229344;233343;760400;231600;438;1602;611;474;439;2758362;2762590;1229344;1233343;2760400;1231600
7009;Gamprin;7000;70;70;617;755614;761142;228411;233476;756400;231000;433;1322;536;454;462;2755614;2761142;1228411;1233476;2756400;1231000
7010;Ruggell;7000;70;70;739;756867;760430;232638;237629;758600;235100;426;613;443;432;431;2756867;2760430;1232638;1237629;2758600;1235100
7011;Schellenberg;7000;70;70;356;758257;761155;232489;235671;760400;234100;429;698;552;576;645;2758257;2761155;1232489;1235671;2760400;1234100
